fecha;hrmean
2009-04-14;32,81
2009-04-15;48,92
2009-04-16;42,84
2009-04-17;38,62
2009-04-18;37,38
2009-04-19;79,17
2009-04-20;60,87
2009-04-21;50,59
2009-04-22;60,04
2009-04-23;74,29
2009-04-24;42,60
2009-04-25;46,82
2009-04-26;63,60
2009-04-27;97,18
2009-04-28;94,74
2009-04-29;91,95
2009-04-30;77,71
2009-05-01;71,31
2009-05-02;64,43
2009-05-03;63,97
2009-05-04;61,08
2009-05-05;60,21
2009-05-06;55,30
2009-05-07;50,55
2009-05-08;52,00
2009-05-09;50,93
2009-05-10;56,27
2009-05-11;64,05
2009-05-12;56,25
2009-05-13;89,72
