fecha;radsup
2009-04-14;17,74
2009-04-15;18,16
2009-04-16;18,03
2009-04-17;18,44
2009-04-18;18,15
2009-04-19;16,75
2009-04-20;18,13
2009-04-21;18,13
2009-04-22;17,99
2009-04-23;6,59
2009-04-24;5,97
2009-04-25;16,46
2009-04-26;16,77
2009-04-27;15,66
2009-04-28;15,58
2009-04-29;12,66
2009-04-30;3,89
2009-05-01;16,11
2009-05-02;16,26
2009-05-03;15,78
2009-05-04;16,16
2009-05-05;16,10
2009-05-06;15,91
2009-05-07;4,86
2009-05-08;1,11
2009-05-09;2,37
2009-05-10;14,90
2009-05-11;15,26
2009-05-12;15,95
2009-05-13;15,48
